fingerprint,model,feature_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,f1_mean,f1_std,f1_min,f1_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max
morgan,RandomForest,2048,0.8590449954086318,0.0,0.8590449954086318,0.8590449954086318,0.7771428571428571,0.0,0.7771428571428571,0.7771428571428571,0.8528301886792454,0.0,0.8528301886792454,0.8528301886792454,0.7847222222222222,0.0,0.7847222222222222,0.7847222222222222,0.9338842975206612,0.0,0.9338842975206612,0.9338842975206612
morgan,GradientBoosting,2048,0.8458830731558004,0.0,0.8458830731558004,0.8458830731558004,0.7371428571428571,0.0,0.7371428571428571,0.7371428571428571,0.8114754098360656,0.0,0.8114754098360656,0.8114754098360656,0.8048780487804879,0.0,0.8048780487804879,0.8048780487804879,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182
morgan,AdaBoost,2048,0.8050964187327824,0.0,0.8050964187327824,0.8050964187327824,0.7371428571428571,0.0,0.7371428571428571,0.7371428571428571,0.8050847457627119,0.0,0.8050847457627119,0.8050847457627119,0.8260869565217391,0.0,0.8260869565217391,0.8260869565217391,0.7851239669421488,0.0,0.7851239669421488,0.7851239669421488
morgan,XGBoost,2048,0.8480257116620753,0.0,0.8480257116620753,0.8480257116620753,0.7714285714285715,0.0,0.7714285714285715,0.7714285714285715,0.8360655737704918,0.0,0.8360655737704918,0.8360655737704918,0.8292682926829268,0.0,0.8292682926829268,0.8292682926829268,0.8429752066115702,0.0,0.8429752066115702,0.8429752066115702
morgan,LightGBM,2048,0.8515457606366698,0.0,0.8515457606366698,0.8515457606366698,0.7657142857142857,0.0,0.7657142857142857,0.7657142857142857,0.8284518828451883,0.0,0.8284518828451883,0.8284518828451883,0.8389830508474576,0.0,0.8389830508474576,0.8389830508474576,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182
morgan,SVM_linear,2048,0.8327211509029692,0.0,0.8327211509029692,0.8327211509029692,0.7771428571428571,0.0,0.7771428571428571,0.7771428571428571,0.8281938325991189,0.0,0.8281938325991189,0.8281938325991189,0.8867924528301887,0.0,0.8867924528301887,0.8867924528301887,0.7768595041322314,0.0,0.7768595041322314,0.7768595041322314
morgan,LogisticRegression,2048,0.827364554637282,0.0,0.827364554637282,0.827364554637282,0.7714285714285715,0.0,0.7714285714285715,0.7714285714285715,0.8305084745762712,0.0,0.8305084745762712,0.8305084745762712,0.8521739130434782,0.0,0.8521739130434782,0.8521739130434782,0.8099173553719008,0.0,0.8099173553719008,0.8099173553719008
morgan,MLP,2048,0.827364554637282,0.0,0.827364554637282,0.827364554637282,0.7428571428571429,0.0,0.7428571428571429,0.7428571428571429,0.811715481171548,0.0,0.811715481171548,0.811715481171548,0.8220338983050848,0.0,0.8220338983050848,0.8220338983050848,0.8016528925619835,0.0,0.8016528925619835,0.8016528925619835
morgan,NaiveBayes,2048,0.67363024181206,0.0,0.67363024181206,0.67363024181206,0.6,0.0,0.6,0.6,0.6634615384615384,0.0,0.6634615384615384,0.6634615384615384,0.7931034482758621,0.0,0.7931034482758621,0.7931034482758621,0.5702479338842975,0.0,0.5702479338842975,0.5702479338842975
morgan,KNN,2048,0.8029537802265074,0.0,0.8029537802265074,0.8029537802265074,0.7542857142857143,0.0,0.7542857142857143,0.7542857142857143,0.8365019011406843,0.0,0.8365019011406843,0.8365019011406843,0.7746478873239436,0.0,0.7746478873239436,0.7746478873239436,0.9090909090909091,0.0,0.9090909090909091,0.9090909090909091
morgan,DecisionTree,2048,0.7676002448729721,0.0,0.7676002448729721,0.7676002448729721,0.7371428571428571,0.0,0.7371428571428571,0.7371428571428571,0.8308823529411764,0.0,0.8308823529411764,0.8308823529411764,0.7483443708609272,0.0,0.7483443708609272,0.7483443708609272,0.9338842975206612,0.0,0.9338842975206612,0.9338842975206612
maccs,RandomForest,167,0.8217018671564127,0.0,0.8217018671564127,0.8217018671564127,0.76,0.0,0.76,0.76,0.8306451612903227,0.0,0.8306451612903227,0.8306451612903227,0.8110236220472441,0.0,0.8110236220472441,0.8110236220472441,0.8512396694214877,0.0,0.8512396694214877,0.8512396694214877
maccs,GradientBoosting,167,0.8553719008264463,0.0,0.8553719008264463,0.8553719008264463,0.8171428571428572,0.0,0.8171428571428572,0.8171428571428572,0.8688524590163934,0.0,0.8688524590163934,0.8688524590163934,0.8617886178861789,0.0,0.8617886178861789,0.8617886178861789,0.8760330578512396,0.0,0.8760330578512396,0.8760330578512396
maccs,AdaBoost,167,0.7306397306397306,0.0,0.7306397306397306,0.7306397306397306,0.7428571428571429,0.0,0.7428571428571429,0.7428571428571429,0.8132780082987552,0.0,0.8132780082987552,0.8132780082987552,0.8166666666666667,0.0,0.8166666666666667,0.8166666666666667,0.8099173553719008,0.0,0.8099173553719008,0.8099173553719008
maccs,XGBoost,167,0.8164983164983164,0.0,0.8164983164983164,0.8164983164983164,0.7771428571428571,0.0,0.7771428571428571,0.7771428571428571,0.8340425531914893,0.0,0.8340425531914893,0.8340425531914893,0.8596491228070176,0.0,0.8596491228070176,0.8596491228070176,0.8099173553719008,0.0,0.8099173553719008,0.8099173553719008
maccs,LightGBM,167,0.8348637894092439,0.0,0.8348637894092439,0.8348637894092439,0.7828571428571428,0.0,0.7828571428571428,0.7828571428571428,0.8429752066115702,0.0,0.8429752066115702,0.8429752066115702,0.8429752066115702,0.0,0.8429752066115702,0.8429752066115702,0.8429752066115702,0.0,0.8429752066115702,0.8429752066115702
