SMILES,pchembl_value
NC(=O)c1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,9
O=C(Nc1ccc(C(=O)N2CCCC2)nc1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,9
CS(=O)(=O)c1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,9
O=C(Nc1ccc(N2CCC(O)CC2)nc1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,9
C[C@@H]1CN(c2ccc(NC(=O)c3n[nH]c4ccc(-c5cncc(CN6CCCCC6)c5)cc34)cn2)C[C@H](C)O1,9
O=C(Nc1ccnnc1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,9
O=C(Nc1cnccn1)c1n[nH]c2ccc(-c3cncc(CN4CCCCC4)c3)cc12,9
Nc1ncc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,9
O=C(Nc1cccnc1)c1n[nH]c2ccc(-c3cncc(CN4CC5CC(C4)O5)c3)cc12,9
CC(C)NC(=O)c1n[nH]c2ccc(-c3cncc(NC4CCNCC4)n3)cc12,9
CN1CCC(n2cc(NC(=O)c3n[nH]c4ccc(-c5cnn(C)c5)cc34)cn2)CC1,9
Cn1cc(-c2cc3c(C(=O)Nc4ccc(CN5CCCC5)cc4)n[nH]c3cc2F)cn1,9
Cn1cc(-c2cc3c(C(=O)Nc4ccc(OCCN5CCCC5)cc4)n[nH]c3cc2F)cn1,9
CN1CCC(Oc2ccc(NC(=O)c3n[nH]c4cc(F)c(-c5cnn(C)c5)cc34)cn2)CC1,9
CN1CCC(Oc2ncc(NC(=O)c3n[nH]c4cc(F)c(-c5cnn(C)c5)cc34)cc2F)CC1,9
Cc1cn(-c2cncc3[nH]c(-c4n[nH]c5ccc(-c6cncc(NC(=O)CC(C)C)c6)cc45)nc23)cn1,9
c1cncc(-c2ccc3[nH]nc(-c4cc5c(-c6cccnc6)cncc5[nH]4)c3c2)c1,9
c1cncc(-c2ccc3[nH]nc(-c4cc5cnccc5[nH]4)c3c2)c1,9
CC(C)C(=O)Nc1cncc(-c2cc3c(-c4cc5cnccc5[nH]4)n[nH]c3cn2)c1,9
CN1CCC(Oc2ccc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)cc2)CC1,9
CN1CCN(c2ccc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)cn2)CC1,9
CN(C)C1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1,9
CN1CCC2(CC1)CN(c1cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn1)C2,9
